HDFS ItemWriter Base integration of core HDFS writer functionality with Spring Batch.,XD-1,
"Add Property maxMessagesPerPoll to All Polled Sources Polled message sources return only one message per poll by default. When polling, say, a file directory with many files, files will be emitted once per . As a user I need to configure a limit for the number of messages that will be emitted per poll.",XD-3063,
"Make Enum Conversions for ModuleOptions more lenient If you have a an option mode textLine , presently the enum MUST be named textLine . I think it would improve the user experience if we allowed users to pass in values such as mode textLine mode text line mode TEXT LINE ",XD-3066,
User to send a message directly to module and receive a message from a module ,XD-307,
"Spike Produce Rabbit baseline on rackspace infrastructure As a developer, I'd like to bench Rabbit on rackspace infrastructure, so I can have a sense on how it scales as we add more xd container nodes.",XD-3071,
"Flo parser improvements As a Flo developer, I'd like to add improvements to existing Flo parser endpoints, so I can streamline the error reporting strategy.",XD-3072,
"Default HDFS as custom module registry for YARN deployments As a developer, I'd like to default to HDFS as distributed remote location for custom module registry, so I can use xd shell or the REST API directly to upload the custom module bits. I would also like to remove custom modules.zip artifact from YARN distribution.",XD-3077,
User wants ability to test multiple processors in a chain ,XD-308,
UI Add Analytics Tab ,XD-3082,
Add incremental load feature to batch docs The incremental load introduced with XD 2309 should be added to the batch docs,XD-3089,
Update build to use SHDP 2.2.0.RC1 ,XD-3091,
Update to Reactor 2.0.2 ,XD-3095,
Support for to work with concurrent producing threads Also provide better lifecycle shutdown mgmt of handler.,XD-3096,
Message Bus optimizations Kafka Redis ,XD-3098,
"Create field value counters A field value counter is useful for bar chart graphs, Strings on x axis and count on y axis. Maps well to zset in redis. Implementations for in memory and redis.",XD-31,
Fix Gradle dist build task ,XD-3101,
"Benchmark XD RC1 using Kafka 0.8.2 as transport As a developer, I'd like to rerun baseline , Tuple , and Serialized payloads, so I can compare the differences in performance between 0.8.1 and 0.8.2 Kafka releases. Sinks to be included in test In Memory Transport Hdfs sink Direct Binding Transport Hdfs Sink Kafka Hdfs Sink",XD-3102,
"Adapt to XD Reactor processor fixes and improvements As a developer, I'd like to upgrade to 2.0.3 release of Reactor, so I can inherit the latest optimizations to further improve XD performance characteristics. ",XD-3103,
Update to Reactor 2.0.3 ,XD-3104,
"Turn off JMX by default As a developer, I'd like to have JMX turned off by default, so I can take advantage of the performance throughput benefits. ",XD-3105,
Support XD JMX ENABLED configuration XD EC2 needs to allow user to set the XD JMX ENABLED flag in the environment prior to admin or container startups. ,XD-3106,
"Fix gradle build issues As a XD build master, I'd like to fix local . gradlew dist and distZip targets the outstanding build issues, so I can evaluate that publish builds works as expected. ",XD-3107,
Optionally Add Spring Integration MBean Exporters to Common ApplicationContext Probably needs support for Spring Profiles.,XD-311,
"Clean up compiler and javadoc warnings from the build As a developer, I'd like to clean up compiler and javadoc warnings from the build, so we don t see the warnings in build sysout.",XD-3110,
Upgrade to 1.2.0 RC1 SIK release ,XD-3111,
Review critical sonar warning... ,XD-3113,
Ensure proper lifecycle shutdown of processors in and ,XD-3114,
Improve to support classes with inheritance Provide unit tests,XD-3115,
Update redis.tar.gz bundled in distribution to be version 3.0.1 RPM scripts will need to change.,XD-3116,
Add Logging to Occasional CI test build failures Caused by Container cache not initialized likely as a result of a ZooKeeper connection error at at at e.g. Add logging to to log that the cache was closed; it appears that s the only way the cache not initialized message can be emitted.,XD-3117,
"Update RPM script to include number of containers to be started As a user, I'd like to start multiple instances of s through the RPM scripts, so I can easily spin up instances on the same node vm.",XD-3118,
Add Jolokia Agent Depending on Run Mode WAR Vs. JVM Jolokia Agent Jolokia Vs. JVM MBeanServer Probably needs support for Spring Profiles.,XD-312,
"Fail fast on Kryo registration conflicts Currently kryo class registration is hard coded in spring xd codec. Users may register their own classes using an extension mechanism, but it is possible to conflict with internal XD class registration, e.g., Tuple. Exposing this using the same extension mechanism will make it more transparent. ",XD-3125,
"Create a landing section for OOTB batch jobs As a user, I'd like to refer to OOTB batch jobs and the documentation, so I can jump to the right job section and review details. ",XD-3127,
Add Spring Integration MBean Exporters to Module Global option? Override for individual modules? module types?,XD-313,
Upgrade to 3.1.1 of the Gradle Artifactory Plugin This addresses The plugin issue to disable spring xd pom.xml,XD-3137,
Better classloader strategy for XD admin container This is in reference to the investigation done as part of XD 2548,XD-3138,
"Document the new analytics tab features As a user, I'd like to refer to the analytics tab docs, so I can understand how to use various widgets from streaming pipeline. ",XD-3139,
"Add ManagedComponent. Metric, Operation etc to Appropriate DIRT Classes Expose runtime stats for core components.",XD-314,
"Create a landing page with links for all OOTB modules As a user, I'd like to have a landing page with higher order links for sources, processors, sinks and jobs, so I can jump to right section from one place. ",XD-3140,
"Composing Jobs via the DSL As a developer, I want to be able to construct jobs using a DSL similar to the current syntax for streams. ",XD-3147,
Remove in the lib cdh5 directory we need to remove that from the dist,XD-3148,
"Batch job filepollhdfs docs are outdated The stream definition example uses old style syntax, should be mode ref instead of ref true ",XD-3149,
"Package Shell binary next to xd admin and xd container The shell should be an executable delivered out of the box in much the same way that xd container and xd admin are right now. If we follow how redis mongo distribut the shell, it sits side by side with the other binaries",XD-315,
Update Modules Build and Package sections Some info is obsolete and add more content re. dependency management,XD-3151,
"Update to Spring Integration 4.1.5 As a developer, I'd like to update to the 4.1.5 SI release, so I can pickup the latest improvements to message channels.",XD-3152,
"Update to Spring Integration Kafka 1.2.0 GA As a developer, I'd like to update to SI Kafka extension 1.2.0, so I can leverage the latest performance improvements.",XD-3153,
"Update to Spring Hadoop 2.2.0 GA As a developer, I'd like to update to Spring Hadoop 2.2.0 GA release, so I can leverage the latest improvements. ",XD-3154,
"How to get in the module s container ID, and module id As a developer, I in the new development of component how to get the module id and container id Because components need to generate log, log information must include the unique identifier xd runtime modules ",XD-3157,
"Create a common exception framework for XD Need to capture exceptions from the various projects that make up XD and wrap them in XD Specific exceptions. An example of this is when leaving out the channels in the module definitions, we see and thrown based on which module and what channel is missing. ",XD-316,
"Reorganize OOTB module list in docs Sort alphabetically, nest Available modules section appropriately. Optionally, move to a whole different PART in reference doc",XD-3160,
Add CI Acceptance Test for 1.2.x Need acceptance tests to run on the 1.2.X branch. Needs to be setup as a child of the Publish 1.2.x,XD-3161,
Update Master Environment for 2.0 CI Acceptance Tests ,XD-3162,
"Kafka bus defaults configurable at producer consumer level As a developer, I want to be able to override Kafka bus defaults for module consumers and producers, so that I can finely tune performance and behaviour. Such properties should include for consumers for producers",XD-3164,
"Synchronize XD and XD Ambari RPMs into a single repo As a PM, I'd like to have XD and XD Ambari RPM scripts into a single public repo, so that users can go to a single location to use the respective build scripts.",XD-3165,
"Publish performance benchmarks As a developer, I'd like to publish performance benchmarks along with the infrastructure specifics, so the users can use it as a reference while setting up Spring XD cluster. ",XD-3166,
Add Documentation Chapter on Executing Batch Jobs Add Documentation Chapter on Executing Batch Jobs ,XD-317,
Update Spark streaming documentation As a user I need to know the Spark streaming features like adding tap at the spark module output and the examples need to be updated. The documentation also needs some more information on Reliable receiver.,XD-3170,
Provide a source option to enable the SOF EOF markers when splitting a file into lines Depends on INT 3727,XD-3172,
"Make RabbitMessageBus RabbitMQ Config Properties Optional When the bus is used outside of the XD container e.g. spring bus , the inheritance from Spring Boot configuration is broken no application.yml or servers.yml on the cp . Make the bus properties optional Add ",XD-3177,
Create Splunk sink module This would be based off the splunk project. The use of this adapter for storing tweet data is in We should be able to reproduce the use case as done in that demo,XD-318,
"Spring xd, to configure the stream drag and graphic spring xd Can drag way to configure flow in the form of figure? Similar to configure a workflow graphical interface Looking forward to reply",XD-3180,
"Upgrade to Spring Boot 1.2.5 Spring Boot 1.2.4 and earlier does not allow for the retrieval of boolean values from the vcap environment. This means that when XD Admin tries to retrieve the value of for example it will fail, as that value returns a boolean. Spring Boot 1.2.5 as yet unreleased contains a fix for this issue ",XD-3183,
Update spring xd yarn servers.yml with settings for HDP 2.2.6.0 We need to add the settings needed to run XD on YARN when using Hortonworks HDP 2.2.6.0 which is the version you now get when installing with Ambari.,XD-3184,
Testers need ability to wait for a file to be created in XD directory User s need ability to wait for user specified time in millis for a file to be created in the XD directory. If file is not created in allotted time then return false else return true. Also check to see if a file exists in the XD directory. ,XD-3189,
Add command for deleting a tap ,XD-319,
"Spike Investigate Boot export metrics and the XD fit As a user, I'd like to have the module app specific metrics consumed directly from Boot actuator export API, so I can have insight on how it is performing, being used and that it works etc. ",XD-3192,
"Spike Investigate bootification of module options As a developer, I'd like to handle module options via pure boot property source management, so I can leverage Boot s module METADATA option to inject module options as opposed to maintaining them in core Spring XD runtime CP. ",XD-3193,
"Spike Investigate and the XD fit As a developer, I'd like to have a central place to manage external properties for applications across all the environments, so I can provide server and client side support for externalized configuration for XD Admin and XD Container servers. ",XD-3194,
"Move MASTER branch CI builds to EC2 based infrastructure As a developer, I'd like to migrate the current MASTER branch CI builds to EC2 instances, so I can manage them all in one place reliably.",XD-3196,
"Spike Investigate the use of config server for modules As a developer, I'd like to use server for spring bus modules, so I can centrally manage external properties.",XD-3198,
Support for GET of taps ,XD-320,
"Investigate performance of channel metrics in SI 4.2 As a developer, I'd like to investigate channel performance issues in SI 4.2, so I can determine the bottlenecks and take corrective actions to improve overall channel performance. ",XD-3202,
"Review spring bus design specs As a spring bus lead, I'd like to review the current spring bus architecture and the design specs, so I can address any foundation level gaps.",XD-3204,
"Investigate the steps to Ambari upgrade Spring XD As a user, I'd like to upgrade Spring XD from 1.2 RC to 1.2 GA using the Ambari plugin, so I can work on the latest release bits. I'd like to refer to the documentation to do so.",XD-3205,
Add create and deploy to TapsController POST?,XD-321,
Support for DELETE of taps ,XD-322,
"Move message bus implemenation from XD to As a developer, I'd like to move message bus from Spring XD repo into spring bus, so I can update Spring XD to inherit the via maven dependency. ",XD-3224,
"Move input output type conversion from XD to As a developer, I'd like to move input output type conversion from Spring XD repo to so I can implement a custom module which produces or consumes a custom domain object.",XD-3225,
"Move serialization codec from XD to As a developer, I'd like to move serialization codec from Spring XD repo into spring bus, so I can update Spring XD to inherit the via maven dependency.",XD-3226,
"Spike Kickoff singlenode implementation of Admin SPI As a developer, I'd like to develop a singlenode in a single JVM implementation of XD Admin SPI based on Module Launcher , so I can run data pipeline use cases locally. ",XD-3227,
"Spike Kickoff distributed Receptor implementation of Admin SPI As a Spring XD user, I'd like to use Diego based Receptor implementation of XD Admin SPI based on ModuleLauncher , so I can run data pipeline use cases running on CF Lattice Diego. ",XD-3228,
"Spike XD Admin SPI to discover s c s modules As a s c s user, I'd like to investigate the possibility of s c s modules self registering themselves to service discovery, so I could use Spring XD runtime running on CF to discover and orchestrate such modules through streams.",XD-3229,
Add command for listing of taps ,XD-323,
"Update to Reactor 2.0.4 As a developer, I'd like to upgrade to Reactor 2.0.4 release, so I could leverage the latest improvements and bug fixes.",XD-3230,
"Add support to Ambari install multiple XD Admin s As a developer, I'd like to update Ambari installed Spring XD cluster to spin up multiple instances of XD Admin servers, so it is setup for HA. ",XD-3231,
"Update Spring Integration to 4.2.0.M2 4.1.6 on 1.2.x Also Spring Framework 4.2.0.RC2, Spring AMQP 1.5.0.M1 Also Batch 3.0.4",XD-3232,
"Enable component model for As a developer, I'd like to create an annotation , the application would be responsible for creating the actual channel beans and channel adapters vs. the developer creating concrete channel instance types. The annotations will be used to indicate the input and output channels of the module. ",XD-3233,
Remove XML REST Endpoints The XML REST endpoints are not working correctly interfere with security are not used ,XD-3234,
"Complete remaining Kryo optimization changes As a developer, I'd like to complete the remaining Kryo optimization changes, so I can polish and get the guidelines documented appropriately. ",XD-3238,
"Move 1.2.x branch to EC2 CI infrastructure As a developer, I'd like to move 1.2.x branch to EC2 infrastructure, so I can reliably run CI test suites.",XD-3239,
Retrieve description of a single module ,XD-324,
Add better support for using control file with gpfdist Currently only database connection info can be read from a control file yml format. Should add rest of the missing options to align how native format works.,XD-3240,
"Add support for update in gpfdist sink Currently we can only do plain inserts, should follow same logic from native gpfdist sink and add upserts.",XD-3241,
"Change module option type from Class to String This better aligns with boot. Moreover, using Class was a bad design choice one can always get a Class from a String , while to converse is not always easy ",XD-3249,
Add command to get listing of a module ,XD-325,
"Refactor s c s samples to use The samples have module options classes copied over from XD. They should use a pure approach, making sure metadata is generated hand written as appropriate. Mixins are still referenced there but obviously can t work, so provide an equivalent",XD-3250,
"Spike Investigate installation of XD modules from maven repo As a developer, I'd like to brainstorm and investigate various techniques around installation of XD modules from a maven repo, so I could define the module from CLI to have the module downloaded from the repo and installed to a running Spring XD runtime.",XD-3256,
Add s as part of the Sqoop job submission to YARN for Avro we need for Snappy we need note the 1.1.0.1 version from xd lib doesn t work We s option or automatically include them. ,XD-3258,
Rename xd.messagebus binder properties replace with xd.messagebus prefix with ,XD-3259,
Add command to get listing of all modules ,XD-326,
"Move serialization codec from XD to Spring Integration As a developer, I'd like to move serialization codec from Spring XD repo into SI, so I can update Spring XD to inherit the via maven dependency.",XD-3260,
Update Groovy to 2.4.4 There is a vulnerability in Groovy that is fixed in 2.4.4 CVE 2015 3253 Remote execution of untrusted code See ,XD-3261,
UI Add Pagination to Containers Page Add Pagination to Containers Page,XD-3262,
"Spike Investigate distributed implementation of CloudController Admin SPI As a Spring XD user, I'd like to use based implementation of XD Admin SPI based on ModuleLauncher , so I can run data pipeline use cases running on CF. Relevant repos Please refer to XD 3194 or XD 3229 as sample spike deliverables google doc that were completed in the last sprint. ",XD-3265,
"Add support for Receptor SPI to query module status As a Spring XD on CF user, I'd like to use Receptor implementation of Admin SPI every time I deploy Spring XD modules, so I can leverage the SPI to query for module status and health metrics. Possible APIs ModuleStatus descriptor ; listModules ; ModuleStatus ",XD-3267,
"Find a permanent home for SPI As a Spring XD developer, I'd like to have a permanent location of SPI implementations, so I could use the common repo every time I contribute or enhance the test coverage. ",XD-3269,
"Retrieve monitoring information for a specfied module For a this would be among other things message rate, number of messages",XD-327,
"Create module registry abstraction As a Spring XD developer, I'd like to create initial version of the new module registry abstraction, so we could leverage the foundation to make progress and test the respective SPI implementations.",XD-3270,
Add admin or and the corresponding implementation gets wired in automatically.,XD-3271,
"Add support for modules to register itself to Eureka As a s c s user, I'd like to have the modules self register itself with whenever they re installed, so I can also discover the same modules using Spring XD Admin SPI and reuse them to create data pipelines. ",XD-3273,
"Make s c s modules searchable by it s name As a s c s user, I'd like to search the modules by it s name aside from the default offered by boot, so I can also fetch modules by it s name.",XD-3274,
"Add support to store metadata in Eureka As a s c s user, I'd like to store module metadata in , so I can use the repository to determine the current state.",XD-3275,
"Add state to Eureka when deploying s c s modules As a s c s user, I'd like to have my modules add update it s current state to Eureka, so I can use the repository to discover the current sate of the module as needed. ",XD-3276,
"Replace controller calls with respective SPI implementation As a Spring XD developer, I'd like to refactor current controller with SPI calls, so I can invoke the respective Admin SPI implementation based on the deployment. Controllers to Refactor StreamsController ModulesController JobsController ",XD-3277,
Retrieve information for a Counter ,XD-328,
"Self register xd admin server with Eureka As a Spring XD developer, I'd like to self register , so I could have admin server exposed as discoverable endpoint. ",XD-3281,
"Create CI infrastructure for s c s As a s c s developer, I'd like to setup CI builds for s c s builds, so I can incrementally build and test code commits automatically.",XD-3282,
"Port FTP as s c s source module As a Spring XD developer, I'd like to port modules to build streaming pipeline.",XD-3283,
"Add CI workflow to build, bundle and upload module launcher image to DockerHub As a s c s developer, I'd like to setup a CI workflow to build, bundle and upload the image to DockerHub, so I don t have to worry about having a local private docker registry for It could be nice to have the image uploaded to existing spring cloud DockerHub location. ",XD-3288,
"Retrieve information for a Field Value Counter TODO as part of this see XD 537 Get rid of so called Service layer in analytics project doesn t do much right now, and logic would better live in the Handler IMO Have REST controllers depend on XRepository in all cases",XD-329,
"Spike Determine options for configuring shared module dependencies As a developer, I'd like to be able to configure common dependencies for the entire environment. An example could be that I use MySql for my databases. I want to be able to configure the MySql driver once and have all modules use it. ",XD-3295,
Spike Design a tasks repository as a task on CF and obtain the result reliably. ,XD-3296,
Create basic TaskLauncher files as Diego Tasks. ,XD-3298,
"Retrieve information for a Gauge TODO as part of this see XD 537 Get rid of so called Service layer in analytics project doesn t do much right now, and logic would better live in the Handler IMO Have REST controllers depend on XRepository in all cases",XD-330,
"Spike Determine best way to centrally configure the job repository for batch jobs. As a developer, I need to be able to run batch jobs that use the centrally configured job repository to store job state. ",XD-3300,
"Add direct binding option for s c s modules As a s c s user, I'd like to have the option to direct bind modules , so I don t have to use messaging middleware and I can eliminate latency between them. This is important for high throughput and low latency use cases. ",XD-3309,
"Retrieve information for a Rich Gauge TODO as part of this see XD 537 Get rid of so called Service layer in analytics project doesn t do much right now, and logic would better live in the Handler IMO Have REST controllers depend on XRepository in all cases",XD-331,
"Add REST support for spring cloud data As a s c d developer, I'd like to establish the foundation to expose REST APIs to interact with the and likewise perform CRUD operations to maneuver streaming and batch pipelines. ",XD-3310,
"Create ModuleRegistry stubs As a s c d developer, I'd like to create stubs, so I can create mock streams by interacting with the registry APIs.",XD-3311,
"Move to spring cloud repo As a s c s developer, I'd like to move from s c s to s c repo, so I can cleanup s c s project and at the same time make these modules visible outside of s c s.",XD-3312,
"Add in memory stream definition repository As a spring cloud data developer, I'd like to use an in memory stream definition repository, so I don t have to spin up a store; obviously, this will not persist between application executions, but it will be useful for a simplified development experience. ",XD-3313,
"Validate stream commands from shell As a s c d developer, I'd like to invoke REST APIs via shell, so I can validate operations.",XD-3314,
"Port Redis counter as s c s sink As a s c s developer, I'd like to adapt redis from XD to s c s, so I can build streaming pipes using s c s modules with simple counters to feed dashboards. ",XD-3315,
"Create CI infrastructure for s c d repo As a s c d developer, I'd like to setup CI infrastructure for s c d repo so I can build the project continuously on every commits. ",XD-3316,
"Add support to resolve and add JARs to Boot loader As a s c d developer, I'd like to resolve and then add module dependent JAR s to Boot loader, so I have an approach to handle external libraries ex database drivers required by OOTB modules. ",XD-3317,
"Bootify ModuleLauncher As a s c s developer, I'd like to bootify , so I can use Spring Boot s support for property, setting, as well as adding options and new functionality in the future, such as CP augmentation. ",XD-3318,
"Add PHD HDFS as s c s module As a s c s developer, I'd like to investigate the right approach to port module from XD, so I can decide better handling of HDFS dependencies, which needs loaded and available in root CP at the runtime. ",XD-3319,
"Retrieve information for an aggregate counter TODO as part of this see XD 537 Get rid of so called Service layer in analytics project doesn t do much right now, and logic would better live in the Handler IMO Have REST controllers depend on XRepository in all cases",XD-332,
"Migrate StreamController from XD 1.0 As a s c d user, I'd like to add REST support for stream commands, so I can maneuver streaming pipeline backed by StreamController.",XD-3320,
"Create CI infrastructure for s c s m repo As a s c s developer, I'd like to setup CI infrastructure for s c s m repo, so I can build the project continuously on every commits. ",XD-3322,
Add binding information to application definition ModuleDefinition contains bindings that need to be passed to the ModuleRunner app. It appears these can be included in the application s environment.,XD-3325,
"Add parameter information to application definition A ModuleDefinition contains parameters, which need to be passed to the CloudFoundry application. Currently these are put directly into the application s environment. This issue will verify they are correctly named.",XD-3326,
Return full ModuleStatus information Remove all stubs and check all required information is returned accurately.,XD-3328,
Return full information Currently there is no returned. This issue will fill in the details.,XD-3329,
Implement undeploy operation for CC SPI Currently undeploy is a no op.,XD-3330,
Add real ModuleRunner application The current ModuleRunner is test app used for validation. This should be replaced by a real app.,XD-3331,
Obtain username and password credentials for CloudFoundry As part of moving to a bespoke RestOperations application we will need credentials to access CloudFoundry. These will need to be supplied from the new XD Admin app at runtime.,XD-3332,
Refactor This class should not know what the test app is. This means changing the constructors on ,XD-3333,
"Refactor to use RestOperations The current implementation makes use of cf java client, which is relatively heavy for our needs. It should be removed in favour of a bespoke RestOperations wrapper. See for sample code.",XD-3334,
"Spike s, so I can decide the binding selection and fallback mechanism when there is none setup.",XD-3337,
"Dependency s ex direct binding of two modules that include different versions of spring data , I have the capability to resolve and include the right bits at runtime.",XD-3339,
Document the structure of the REST API ,XD-334,
"Publish s c d image to DockerHub As a s c d developer, I'd like to publish the s c d image to DockerHub, so I can incrementally push the latest commits to the remote location.",XD-3341,
"Implement undeploy operation for singlenode SPI As a s c d developer, I'd like to implement undeploy operation for single JVM , so I can use this target to undeploy a running stream. More details in this PR Note Its a prerequisite to determine consistent undeploy strategy for both . ",XD-3344,
Run all shell integration tests also with enabled security Apply the same strategy for the Module Command Tests also to all other Shell integration tests.,XD-3347,
"Add profile support for stream repositories As a s c d developer, I'd like to add support for profiles to the core profile would use in memory strategy to store the metadata.",XD-3348,
"Design the foundation to port XD modules to s c s As an s c s developer, I'd like to brainstorm and design the foundation to port XD modules as s c s modules, so I can use it as the base and start migrating the modules.",XD-3349,
"Review DSL updated story points to 14 since 5 of us just participated in a 2 hour call, and we still need to discuss topology support after some dev spikes later this week",XD-335,
"Add support to expose counter metrics for dashboarding As a s c d developer, I'd like to add support to expose counter metrics endpoints, so I can consume to feed the dashboards to demonstrate pipe.",XD-3350,
Replace codec impl in with SI Codec ,XD-3351,
Replace Binder XML config with Configuration Create Confguration and Configuration must support replacing the default Kryo Codec implementation with something else.,XD-3352,
Add shell as a rest client to the spring cloud data REST API As a user I would like to have shell interface to the spring cloud data rest API. The scope for this JIRA could be limited to stream commands.,XD-3353,
Move shell integration tests to spring cloud data shell This could focus only on the subset Stream operations ,XD-3354,
"Add support for module info to list module properties As a s c d developer, I'd like to derive a strategy for module metadata via command in shell to list all the module properties. ",XD-3355,
"Standardize Spring Cloud Data configuration User can configure spring cloud data via via Spring Cloud Config, data admin.yml or Spring Cloud Connector Add bootstrap.yml to spring cloud data create a default data admin.yml and configure spring data to look for this vs application.yml. Spring Cloud Data will have Spring Cloud Config enabled by default User has the ability to disable it via the bootstrap.yml",XD-3359,
Document Splunk source sink ,XD-336,
Add Spring Cloud Config to SPI Module Parent Enable spring cloud config for all modules Add spring cloud config client to pom dependencies. Add bootstrap.yml to scs project ,XD-3360,
"Port HTTP as s c s module As a Spring XD developer, I'd like to port module in streaming pipeline. ",XD-3362,
"Port TCP as s c s module As a Spring XD developer, I'd like to port module to build streaming pipeline. ",XD-3363,
"Port Twitterstream as s c s module As a Spring XD developer, I'd like to move module from XD to s c s repo, so I can use it as source modules to build streaming pipeline. ",XD-3364,
"Port Twittersearch as s c s module As a Spring XD developer, I'd like to move module from XD to s c s repo, so I can use it as source modules to build streaming pipeline. ",XD-3365,
"Port Filter as s c s module As a Spring XD developer, I'd like to port module to build streaming pipeline.",XD-3366,
"Port Transform as s c s module As a Spring XD developer, I'd like to port module to build streaming pipeline.",XD-3367,
"Port Router as s c s sink As a Spring XD developer, I'd like to port module to build streaming pipeline.",XD-3368,
"Port File as s c s sink As a Spring XD developer, I'd like to port module to build streaming pipeline.",XD-3369,
Test connection pooling on Redis operations ,XD-337,
"Port FTP as s c s sink module As a Spring XD developer, I'd like to port modules to build streaming pipeline.",XD-3370,
"Port Redis as s c s sink As a Spring XD developer, I'd like to move to build streaming pipeline.",XD-3374,
"Port Rabbit as s c s source As a s c d developer, I'd like to move to build streaming pipeline.",XD-3375,
"Port gemfire server sink as s c s module As a Spring XD developer, I'd like to move to build streaming pipeline.",XD-3376,
Refactor Task parsing Currently the DSL parsing for tasks is a copy and paste of what it is for streams minus the ability to parse multiple modules . This results in a lot of duplication. This should be refactored to remove duplication and remove explicit references to either streams or tasks in common code.,XD-3377,
"Upgrade HDP PHD distrubutions As a Spring XD user, I'd like to use the latest releases of .",XD-3378,
Create tcp udp load generator script for XD performance testing Create a load generator script which can generate messages at specific 1 Rate 2 Payload 3 Concurrency to a specific tcp udp port where a syslog adapter is listening.,XD-338,
"Refactor which itself has the meat of the configuration . This is typically what boot AutoConfiguration is for. Moreover, adding a new binding eg Kafka or a stub for module testing would require to crack open EnableModule",XD-3380,
"Spike Investigate distributed deployment of s c s modules via YARN SPI As an s c d developer, I'd like to investigate the distributed deployment of s c s modules on YARN, so I can experiment the implementation of YARN SPI and derive the strategy for .",XD-3384,
"Hide the passwords in custom modules from being displayed. Hi, Passwords are visibly when using custom modules. Attached is example custom module code and xd shell script to reproduce the problem using stream module of type processor on Spring XD 1.2.1.RELEASE. Compile with Maven mvn clean install and run xd shell script xd shell cmdfile . runme.cmd . ",XD-3387,
"Port Trigger as s c s source As a Spring XD developer, I'd like to move module from XD to s c s repo, so I can use it as source to build streaming pipeline. ",XD-3388,
Investigate using profiler when doing the performance testing Investigate how efficiently we can integrate profiler into the performance test.,XD-339,
"Upgrade receptor client to comply with latest Receptor APIs As a s c d developer, I'd like to upgrade API changes, so I can sync up and take advantage of the recent improvements. ",XD-3393,
Module Launcher properties improvments Improve Spring Cloud Stream module launcher resolver properties 1 Support comma separated remoteRepositories 2 Classify group the properties,XD-3395,
"Add cloud connector dependencies for spring cloud data admin Spring cloud data admin requires lattice connector and dependencies so that the admin controllers get access to any services while running on lattice. One example is, CounterContoller using redis service for MetricRepository.",XD-3396,
Port admin web UI to Spring Cloud Data admin As a user I should be able to use the existing admin UI client for spring cloud data admin with the appropriate server configurations.,XD-3397,
"Create auto for Local Binder As a s c s developer, I'd like to create auto configuration for binder so I can automatically configure the Spring application based on the dependencies.",XD-3398,
Create CI Builds for SCD and Receptor Client Build SCS and SCD projects upon change in github repo. Push docker image for SCD Admin to docker hub,XD-3399,
Create script to extract table data from JSON based on a given HAWQ table structure We should be able to write a script that can examine the table structure for a given HAWQ table and then extract the data from JSON without the custom script we are using now.,XD-340,
"Add support for passing parameters to YARN container As a s c d user, I'd like to have the option to support passing definition parameters into YARN container, so I can effectively use those params within the module running inside the container.",XD-3400,
"Add support for deploying YARN app into HDFS As a s c d developer, I'd like to add support to deploy YARN App into HDFS automatically, so I can have the orchestrate overall deployment by leveraging the manifest to deploy where and with what assets.",XD-3401,
"Add support to start Apps in YARN automatically by type As an s c d developer, I'd like to add support to negotiate with the ResourceManager REST APIs to deploy modules by groups. so I can build instrumentation to start the App instances automatically. Perhaps also take into account of the App specifics such as . ",XD-3402,
"Refactor YARN deployer to deploy asycnhrounously As a s c d developer, I'd like to make the deployer work asynchronously, so I can use the shell to return quickly and also queue deploy operations within YARN as tasks.",XD-3404,
"Spike Study how to resolve and add JARs to Boot loader As a s c d developer, I'd like to experiment how do we resolve and then add module dependent JAR s to Boot loader, so I have an approach to handle external libraries required by OOTB modules. ",XD-3405,
"Refactor to use Boot s JarLauncher As a s c s developer, I'd like to refactor the current API, so we don t have to maintain duplicate functionality.",XD-3406,
Document JMX features Document jmx command line options and refer to jolokia,XD-341,
"Move external library resolver to its own project As a s c d developer, I'd like to move the external library to its own project, so we have a clear separation of functionalities in s c d repo.",XD-3411,
"Port SFTP as s c s source module As a Spring XD developer, I'd like to port SFTP module from XD to s c s repo, so I can use it as source modules to build streaming pipeline. ",XD-3412,
"Create a new project for RedisRule As a s c d developer, I'd like to create a new project to contain all the rules associated contract, so it is isolated from core functionalities and reusable by test coverage as needed. Consider moving this coverage to SI commons or equivalent. ",XD-3414,
"Create foundation to support s c s processor modules As a s c d developer, I'd like to create foundation to support processor as OOTB modules, so I can use the processor modules from repo to build streaming pipeline.",XD-3416,
Add SmartLifecycle to Make implement SmartLifecycle so that it gets started with the highest precedence and before any other message producing bean.,XD-3417,
"Enable offline mode for As a s c s developer, I'd like to enable , so I can pull the module artifacts from local instead of remote maven repo.",XD-3418,
"Add registry to lookup module coordinates by name As a s c d developer, I'd like to create implementation, so I can use this infrastructure to lookup module coordinates by name.",XD-3419,
"Fix s on the claspath that needs cleanup. Building and running with xd singlenode script gave this error Jun 27, 2013 3 18 16 PM process SEVERE Error processing request at at at at at at at at ",XD-342,
Create a Rabbit Kafka Available Rule in s c s m Can take from previous implementation in Should have a way to enforce not skipping tests based on an environment variable. Consider moving this coverage to SI commons or equivalent. ,XD-3421,
Update Shell to support tasks via the CLI. ,XD-3423,
"Support shell commands to interact with module registry As a s c d developer, I'd like to have .",XD-3425,
Investigate JMX object naming of deployed modules and inbound outbound channel adapters. The object naming is still not ideal for XD since SI conventions add some noise. Likely need to design and implement a custom naming strategy,XD-343,
